Sayfa,Dosya Yolu,Kategori Türü,Kategori Adı,Alt Kategoriler/İçerik,Açıklama
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Ev Elektroniği,"Samsung, LG, Sony, Philips, Panasonic, Bosch, Siemens, Arçelik, Beko, Vestel, Grundig, Sharp, Toshiba, Whirlpool, Electrolux, Hotpoint, Indesit, Candy, Haier, Hisense, TCL, Xiaomi, Huawei, OnePlus, Realme, Oppo, Vivo, Honor, Redmi, Poco",Ev elektroniği markaları
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Elektronik,"Apple (iPhone, iPad, MacBook, iMac, Apple Watch, AirPods, Apple TV), Samsung (Galaxy S, Galaxy Note, Galaxy Tab, Galaxy Watch, Galaxy Buds, Smart TV), Sony (PlayStation, Xperia, Bravia TV, WH-1000XM, Alpha Kamera, Walkman), LG (OLED TV, NanoCell TV, Gram Laptop, Wing Phone, Tone Kulaklık), Huawei, Xiaomi, Canon, Nikon, Panasonic, JBL, Bose, Beats, Sennheiser, Audio-Technica, Marshall, Harman Kardon, Bang & Olufsen, Philips, Pioneer, Yamaha, Denon, Marantz, Onkyo, KEF, Klipsch, Polk Audio, Focal, B&W, Monitor Audio, Wharfedale, Mission, Tannoy, Dynaudio, Elac, Paradigm, PSB, Definitive Technology, SVS, REL, Velodyne, Sunfire, MartinLogan, Magnepan, Wilson Audio, Sonus Faber, Revel, Thiel, Vandersteen, ProAc, Spendor, Harbeth, ATC, PMC, Genelec, Adam Audio, Focal Professional, KRK, Yamaha Pro, JBL Professional, QSC, Crown, Mackie, Behringer, PreSonus, Focusrite, RME, Universal Audio, Antelope Audio, Apogee, MOTU, Zoom, Tascam, Roland, Korg, Casio, Kawai, Kurzweil, Nord, Moog, Sequential, Arturia, Novation, Akai, Native Instruments, M-Audio, Nektar, Studiologic, CME, Doepfer, Teenage Engineering, Elektron, Dave Smith, Access, Waldorf, Clavia, Oberheim, Prophet, Minimoog, Sub 37, Subsequent, Matriarch, Grandmother, Mother-32, DFAM, Subharmonicon, Mavis, Werkstatt, Minitaur, Slim Phatty, Little Phatty, Voyager, One",Elektronik kategorisi markaları ve modelleri
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Ev Dekorasyon,"IKEA, Bellona, Yataş, Doğtaş, Alfemo, Kelebek, Mondi, İstikbal, Özdilek, Koçtaş, Bauhaus, Leroy Merlin, Madame Coco, English Home, Zara Home, H&M Home, Chakra, Karaca, Kütahya Porselen, Paşabahçe",Ev dekorasyon markaları
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Giyim & Aksesuar,"Nike, Adidas, Puma, New Balance, Converse, Vans, Reebok, Under Armour, Tommy Hilfiger, Calvin Klein, Lacoste, Ralph Lauren",Giyim ve aksesuar markaları
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Kişisel Bakım & Kozmetik,"L'Oréal, Nivea, Garnier, Maybelline, MAC, Clinique, Estée Lauder, Lancôme, Chanel, Dior, YSL, Tom Ford, Giorgio Armani, Versace, Hugo Boss, Calvin Klein, Dolce & Gabbana, Prada, Burberry, Hermès",Kozmetik ve kişisel bakım markaları
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Kitap Dergi & Film,"Penguin, İş Bankası Kültür, Yapı Kredi, Can Yayınları, Doğan Kitap, Everest, Tudem, Epsilon, Palme, Karekök, Marvel, DC Comics, Disney, National Geographic, Time",Kitap ve yayın markaları
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Takı Mücevher & Altın,"Atasay, Pandora, Swarovski, Tiffany & Co., Cartier, Bulgari, Van Cleef & Arpels, Harry Winston, Chopard, Boucheron, Piaget, Graff, Mikimoto, David Yurman, John Hardy",Takı ve mücevher markaları
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Bahçe & Yapı Market,"Bosch, Makita, DeWalt, Black & Decker, Einhell, Ryobi, Worx, Gardena, Fiskars, Husqvarna, Stihl, Honda, Yamaha, Karcher, Nilfisk",Bahçe ve yapı market markaları
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Yiyecek & İçecek,"Ülker, Eti, Tadelle, Godiva, Ferrero, Nestle, Coca Cola, Pepsi, Fanta, Sprite, Red Bull, Monster, Starbucks, Nescafe, Lipton",Yiyecek ve içecek markaları
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Saat,"Apple (Apple Watch Series 9, Apple Watch SE, Apple Watch Ultra 2), Samsung (Galaxy Watch6, Galaxy Watch5, Galaxy Watch4, Galaxy Watch Active2), Rolex (Submariner, Datejust, GMT-Master II, Daytona, Explorer, Sea-Dweller), Omega (Speedmaster, Seamaster, Constellation, De Ville), Casio (G-Shock, Pro Trek, Edifice, Baby-G), Seiko (Prospex, Presage, Premier, 5 Sports), Citizen (Eco-Drive, Promaster, Satellite Wave), Fossil (Gen 6, Sport, Hybrid HR), Tag Heuer (Formula 1, Carrera, Monaco, Aquaracer), Tissot (PRC 200, Seastar, T-Classic, T-Sport)",Saat markaları ve modelleri
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Hobi & Oyuncak,"LEGO (Yapı Setleri, Technic, Creator, City), Barbie (Bebek, Aksesuar, Ev, Araba), Hot Wheels (Oyuncak Araba, Pist, Aksesuar), Playmobil (Figür, Ev, Araba, Şehir), Fisher-Price (Bebek Oyuncağı, Eğitici Oyuncak, Müzik), Hasbro (Transformers, My Little Pony, Monopoly), Mattel (Barbie, Hot Wheels, UNO), Ravensburger (Puzzle, Oyun, Eğitici), Clementoni (Puzzle, Bilim Seti, Eğitici), Educa (Puzzle, Oyun, Eğitici), Yamaha (Piyano, Gitar, Keman), Fender (Gitar, Bas Gitar, Amfi), Gibson (Gitar, Bas Gitar, Elektro Gitar), Roland (Piyano, Davul, Synthesizer), Casio (Piyano, Klavye, Hesap Makinesi)",Hobi ve oyuncak markaları
Arama Sayfası,src/app/listings/search/page.tsx,Alt Kategoriler,İkinci El Alt Kategorileri,"Bilgisayar (Dizüstü Notebook, Masaüstü, Tablet, Çevre Birimleri, Aksesuarlar, Monitör, Sunucu Server, Domain Hosting & Yazılım), Ev Dekorasyon (Mobilya, Dekoratif Ürünler, El İşi & Sanat, Aydınlatma, Ev Tekstili, Mutfak Gereçleri, Temizlik Malzemeleri, Toplu Satış), Giyim & Aksesuar (Kadın, Erkek, Üniseks, Çocuk Giyim, Evlilik & Düğün, Kostüm, Valiz & Bavul, Toplu Satış), Kişisel Bakım & Kozmetik (Parfüm, Saç Bakımı, Vücut Bakımı, Yüz Bakımı, Makyaj, Tıraş, Epilasyon, Ağız & Diş, El Ayak & Tırnak, Hijyenik Ürünler, Zayıflama Ürünleri, Profesyonel Ekipmanlar, Toplu Satış), Kitap Dergi & Film (Film, Dergi, Kaynak & Bilgi Kitapları, Eğitim & Sözlük, Edebiyat, Çizgi Roman, Çocuk Kitapları, Yabancı Dilde Kitaplar, Kitap Elektroniği & Aksesuar, Toplu Satış), Takı Mücevher & Altın (Külçe & Ziynet Altın, Yüzük, Kolye, Küpe, Bileklik & Bilezik, Takı Seti, Takı Malzemeleri, Aksesuar, Toplu Satış), Bahçe & Yapı Market (Bahçe, Yapı Malzemeleri, El Aletleri, Prefabrik Yapılar, İş Güvenliği & Elbiseleri, Toplu Satış), Yiyecek & İçecek (Baharat, Bakliyat, Et & Balık, Hazır Gıda, İçecek, Kuruyemiş, Meyve & Sebze, Pastane & Fırın, Şarküteri, Şekerli Besinler, Gıda Paketi, Toplu Satış), Cep Telefonu & Aksesuar (Cep Telefonu, Yenilenmiş Cep Telefonu, Aksesuar, Yedek Parça, Numara, Giyilebilir Teknoloji), Ev Elektroniği (Televizyon, Uydu & Ekipmanları, Ev Sinema Sistemleri, Ev Müzik Sistemleri, Taşınabilir Ses Sistemleri, Güvenlik Sistemleri, Akıllı Ev Sistemleri, Telefon, Toplu Satış), Elektronik (Bilgisayar & Laptop, Tablet, Akıllı Telefon, Akıllı Saat & Giyilebilir Teknoloji, Kulaklık & Hoparlör, Ses Sistemleri, Fotoğraf & Video Kamera, Oyun Konsolu & Aksesuar, Müzik Enstrümanları & Ekipmanları, DJ & Stüdyo Ekipmanları, Elektronik Aksesuar, Toplu Satış), Saat (Kol Saati, Kum Saati, Cep Saati, Masa Saati, Duvar Saati, Takı Saat, Parça & Aksesuar, Toplu Satış), Hobi & Oyuncak (Oyuncak, Hobi, Koleksiyon, Sanat & El İşi, Müzik Aletleri, Spor & Outdoor, Toplu Satış)",İkinci el kategorileri için detaylı alt kategoriler
Arama Sayfası,src/app/listings/search/page.tsx,Sıralama Seçenekleri,Sıralama,"En Yeni, En Eski, Fiyat (Düşük → Yüksek), Fiyat (Yüksek → Düşük), En Popüler, En Yüksek Puan",Arama sonuçları sıralama seçenekleri
İlan Oluşturma,src/app/listings/create/page.tsx,Ana Kategoriler,İlan Kategorileri,"Emlak, Vasıta, İkinci El ve Sıfır Alışveriş, Yedek Parça Aksesuar Donanım & Tuning, İş Makineleri & Sanayi, Ustalar ve Hizmetler, Özel Ders Verenler, İş İlanları, Yardımcı Arayanlar, Hayvanlar Alemi",İlan oluşturma sayfasındaki kategoriler
Listeleme Sayfası,src/app/listings/page.tsx,Ana Kategoriler,Listeleme Kategorileri,"Emlak, Vasıta, İkinci El ve Sıfır Alışveriş, Yedek Parça Aksesuar Donanım & Tuning, İş Makineleri & Sanayi, Ustalar ve Hizmetler, Özel Ders Verenler, İş İlanları, Yardımcı Arayanlar, Hayvanlar Alemi",Listeleme sayfasındaki kategoriler
